new_file_name,original_file_name,full_url,timestamp
29042010.3GP,11245223B78558F212E3DBE171A51C83_29042010.3GP,https://www.cia.gov/library/abbottabad-compound/11/11245223B78558F212E3DBE171A51C83_29042010.3GP,2010-04-29 23:44:10
item-1219405533.3gp,115E69812B6AE303CF5184DC59193E13_item-1219405533.3gp,https://www.cia.gov/library/abbottabad-compound/11/115E69812B6AE303CF5184DC59193E13_item-1219405533.3gp,1970-01-01 00:00:00
24042010.3GP,1194D6D87918060416BCE493FA653398_24042010.3GP,https://www.cia.gov/library/abbottabad-compound/11/1194D6D87918060416BCE493FA653398_24042010.3GP,2010-04-24 18:13:32
جهيمان.3gp,11DB2FC9327AC584FDE9630A503EA0CF_جهيمان.3gp,https://www.cia.gov/library/abbottabad-compound/11/11DB2FC9327AC584FDE9630A503EA0CF_جهيمان.3gp,2006-06-03 11:35:37
تعبير_طالب_اول_ثانوي.3gp,11C5E8B29F0D20B5CD705FA475A11B95_تعبير_طالب_اول_ثانوي.3gp,https://www.cia.gov/library/abbottabad-compound/11/11C5E8B29F0D20B5CD705FA475A11B95_تعبير_طالب_اول_ثانوي.3gp,1970-01-01 00:00:00
إغتصاب_فتاة_حافظة_للقرآن_وقتل_طفل_لأن_إسمه_عمر.mp4,124CFA269A2465C588D1D9D440180BD3_إغتصاب_فتاة_حافظة_للقرآن_وقتل_طفل_لأن_إسمه_عمر.mp4,https://www.cia.gov/library/abbottabad-compound/12/124CFA269A2465C588D1D9D440180BD3_إغتصاب_فتاة_حافظة_للقرآن_وقتل_طفل_لأن_إسمه_عمر.mp4,2009-04-23 14:35:54
AVSEQ09.3gp,129A4894EB03290D6E8CB32BBBB0B41D_AVSEQ09.3gp,https://www.cia.gov/library/abbottabad-compound/12/129A4894EB03290D6E8CB32BBBB0B41D_AVSEQ09.3gp,2008-11-05 18:34:30
MOV_0000008.3gp,12696E744424A527EA710C09D7A5D461_MOV_0000008.3gp,https://www.cia.gov/library/abbottabad-compound/12/12696E744424A527EA710C09D7A5D461_MOV_0000008.3gp,1970-01-01 04:42:00
Quran.abrogates.all.previous.books.mp4,13ACE128E1D31E0387556CB0A687340C_Quran.abrogates.all.previous.books.mp4,https://www.cia.gov/library/abbottabad-compound/13/13ACE128E1D31E0387556CB0A687340C_Quran.abrogates.all.previous.books.mp4,2009-06-15 11:52:25
item-y2ls1hHQjR.3gp,13BC392707ED42F3385C0FBE373768FD_item-y2ls1hHQjR.3gp,https://www.cia.gov/library/abbottabad-compound/13/13BC392707ED42F3385C0FBE373768FD_item-y2ls1hHQjR.3gp,1970-01-01 00:00:00
